sonarKey,title,compatibleLanguages,requiredDependency,requiredEcmaVersion,requiredModuleType
"S1068","Unused private class members should be removed","js|ts","","2022",""
"S1128","Unnecessary imports should be removed","js|ts","","2015",""
"S1788","Function parameters with default values should be last","js|ts","","2015",""
"S2208","Wildcard imports should not be used","js|ts","","2015",""
"S3317","Default export names and file names should match","js|ts","","2015",""
"S3353","Unchanged variables should be marked as ""const""","js|ts","","2015",""
"S3498","Object literal shorthand syntax should be used","js|ts","","2015",""
"S3499","Shorthand object properties should be grouped at the beginning or end of an object declaration","js|ts","","2015",""
"S3500","""const"" variables should not be reassigned","js","","2015",""
"S3504","Variables should be declared with ""let"" or ""const""","js|ts","","2015",""
"S3512","Template strings should be used instead of concatenation","js|ts","","2015",""
"S3513","""arguments"" should not be accessed directly","js|ts","","2015",""
"S3514","Destructuring syntax should be used for assignments","js|ts","","2015",""
"S3524","Braces and parentheses should be used consistently with arrow functions","js|ts","","2015",""
"S3525","Class methods should be used instead of ""prototype"" assignments","js|ts","","2015",""
"S3531","Generators should explicitly ""yield"" a value","js|ts","","2015",""
"S3533","""import"" should be used to include external code","js|ts","","2015",""
"S3786","Template literal placeholder syntax should not be used in regular strings","js|ts","","2015",""
"S3834","""new"" operator should not be used with Symbol and BigInt","js","","2015",""
"S3863","Imports from the same module should be merged","js|ts","","2015",""
"S4123","""await"" should only be used with promises","js|ts","","2017",""
"S4326","""await"" should not be used redundantly","js|ts","","2017",""
"S4423","Weak SSL/TLS protocols should not be used","js|ts","aws-cdk-lib","",""
"S4624","Template literals should not be nested","js|ts","","2015",""
"S4634","Shorthand promises should be used","js|ts","","2015",""
"S4822","Promise rejections should not be caught by ""try"" blocks","js|ts","","2017",""
"S6249","S3 buckets should enforce HTTPS-only access","js|ts","aws-cdk-lib","",""
"S6252","Amazon S3 buckets should have versioning enabled","js|ts","aws-cdk-lib","",""
"S6265","S3 buckets should not grant access to all users or authenticated users","js|ts","aws-cdk-lib","",""
"S6270","AWS resource-based policies should not grant public access","js|ts","aws-cdk-lib","",""
"S6275","EBS volumes should be encrypted","js|ts","aws-cdk-lib","",""
"S6281","Amazon S3 bucket public access should be fully blocked","js|ts","aws-cdk-lib","",""
"S6302","Policies should not grant all privileges","js|ts","aws-cdk-lib","",""
"S6303","Amazon RDS resources should be encrypted at rest","js|ts","aws-cdk-lib","",""
"S6304","IAM policies should not grant access to all account resources","js|ts","aws-cdk-lib","",""
"S6308","OpenSearch domains should have encryption at rest enabled","js|ts","aws-cdk-lib","",""
"S6317","AWS IAM policies should limit the scope of permissions given","js|ts","aws-cdk-lib","",""
"S6319","SageMaker notebook instances should be encrypted at rest","js|ts","aws-cdk-lib","",""
"S6321","Administration services access should be restricted to specific IP addresses","js|ts","aws-cdk-lib","",""
"S6327","Amazon SNS topics should be encrypted at rest","js|ts","aws-cdk-lib","",""
"S6329","Public network access to cloud resources should be disabled","js|ts","aws-cdk-lib","",""
"S6330","SQS queues should be encrypted","js|ts","aws-cdk-lib","",""
"S6332","Amazon EFS file systems should be encrypted","js|ts","aws-cdk-lib","",""
"S6333","AWS API Gateway should require authentication","js|ts","aws-cdk-lib","",""
"S6435","React ""render"" functions should return a value","js|ts","react","",""
"S6439","React components should not render non-boolean condition values","js|ts","react|react-native","",""
"S6440","React Hooks should be properly called","js|ts","react","",""
"S6441","Unused methods of React components should be removed","js|ts","react","",""
"S6442","React's useState hook should not be used directly in the render function or body of a component","js|ts","react","",""
"S6443","React state setter function should not be called with its matching state variable","js|ts","react","",""
"S6478","React components should not be nested","js|ts","react","",""
"S6481","React Context Provider values should have stable identities","js|ts","react","",""
"S6522","Import variables should not be reassigned","js|ts","","2015",""
"S6523","Optional chaining should not be used if returning ""undefined"" throws an error","js|ts","","2020",""
"S6544","Promises should not be misused","js|ts","","2017",""
"S6557","Ends of strings should be checked with ""startsWith()"" and ""endsWith()""","js|ts","","2015",""
"S6647","Unnecessary constructors should be removed","js|ts","","2015",""
"S6653","Use Object.hasOwn static method instead of hasOwnProperty","js|ts","","2022",""
"S6661","Object spread syntax should be used instead of ""Object.assign""","js|ts","","2018",""
"S6746","In React ""this.state"" should not be mutated directly","js|ts","react","",""
"S6747","JSX elements should not use unknown properties and attributes","js|ts","react","",""
"S6748","React ""children"" should not be passed as prop","js|ts","react","",""
"S6750","The return value of ""ReactDOM.render"" should not be used","js|ts","react","",""
"S6754","The return value of ""useState"" should be destructured and named symmetrically","js|ts","react","",""
"S6756","""setState"" should use a callback when referencing the previous state","js|ts","react","",""
"S6757","""this"" should not be used in functional components","js|ts","react","",""
"S6761","""children"" and ""dangerouslySetInnerHTML"" should not be used together","js|ts","react","",""
"S6763","""shouldComponentUpdate"" should not be defined when extending ""React.PureComponent""","js|ts","react","",""
"S6767","Unused React typed props should be removed","js|ts","react","",""
"S6774","React components should validate prop types","js","react","",""
"S6775","All ""defaultProps"" should have non-required PropTypes","js|ts","react","",""
"S6788","React's ""findDOMNode"" should not be used","js|ts","react","",""
"S6789","React's ""isMounted"" should not be used","js|ts","react","",""
"S6790","String references should not be used","js|ts","react","",""
"S6791","React legacy lifecycle methods should not be used","js|ts","react","",""
"S6957","Deprecated React APIs should not be used","js|ts","react","",""
"S7059","Constructors should not contain asynchronous operations","js|ts","","2017",""
"S7720","Ternary expressions in array spreads should use consistent types","js|ts","","2015",""
"S7726","Default exports should be named","js|ts","","2015",""
"S7728","Use ""for...of"" loops instead of ""forEach"" method calls","js|ts","","2015",""
"S7730","Member access from await expressions should use destructuring or intermediate variables","js|ts","","2017",""
"S7734","Default imports and exports should use the dedicated syntax","js|ts","","2015",""
"S7750","Array methods "".find()"" and "".findLast()"" should be preferred over "".filter()"" for single element retrieval","js|ts","","2015",""
"S7751","Array flattening should use the native ""flat()"" method","js|ts","","2019",""
"S7752","Array methods "".map().flat()"" should be replaced with "".flatMap()""","js|ts","","2019",""
"S7755","Complex index access patterns should be replaced with "".at()"" method","js|ts","","2022",""
"S7757","Class properties should be declared as fields rather than assigned in constructors","js|ts","","2022",""
"S7758","Unicode-aware string methods should be used for proper character handling","js|ts","","2015",""
"S7760","Default parameters should be used instead of reassigning parameters with literal fallback values","js|ts","","2015",""
"S7763","Re-exports should use ""export...from"" syntax","js|ts","","2015",""
"S7764","Use ""globalThis"" instead of ""window"", ""self"", or ""global""","js|ts","","2020",""
"S7765","Existence checks should use "".includes()"" instead of "".indexOf()"" or "".lastIndexOf()""","js|ts","","2016",""
"S7767","Bitwise operators should not be used to truncate numbers","js|ts","","2015",""
"S7769","Modern Math APIs should be used instead of legacy mathematical expressions","js|ts","","2015",""
"S7771","Negative indices should be used instead of length calculations","js|ts","","2022",""
"S7773","Number static methods and properties should be preferred over global equivalents","js|ts","","2015",""
"S7776","Arrays used only for existence checks should be Sets","js|ts","","2015",""
"S7777","Set size should be accessed directly instead of converting to array first","js|ts","","2015",""
"S7780","String literals with escaped backslashes should use `String.raw` template literals","js|ts","","2015",""
"S7781","Strings should use ""replaceAll()"" instead of ""replace()"" with global regex","js|ts","","2021",""
"S7783","""trimLeft()"" and ""trimRight()"" should be replaced with ""trimStart()"" and ""trimEnd()""","js|ts","","2019",""
"S7784","""structuredClone()"" should be used instead of other deep cloning methods","js|ts","","2022",""
"S7785","Top-level await should be preferred over promise chains and async wrappers","js|ts","","2022","module"
"S8927","Default imports from modular utility libraries should not be used","js|ts","","2015",""
"S8950","Vue props with a default value should not be required","js|ts","vue","",""
"S8951","Vue component props should not be mutated directly","js|ts","vue","",""
"S8957","Vue component props should declare a type","js|ts","vue","",""
"S8961","Vue component events should be explicitly declared","js|ts","vue","",""
